Egu,Enw gwrywaidd unigol
Ebu,Enw benywaidd unigol
Egll,Enw gwrywaidd lluosog
Ebll,Enw benywaidd lluosog
Egbu,Enw gwrywaidd/benywaidd unigol
Egbll,Enw gwrywaidd/benywaidd lluosog
Epg,Enw priod gwrywaidd
Epb,Enw priod benywaidd
YFB,Y Fannod Benodol
Arsym,Arddodiad syml
Ar1u,"Arddodiad rhediadol, pers. 1af. unigol"
Ar2u,"Arddodiad rhediadol, 2il pers. unigol"
Ar3gu,"Arddodiad rhediadol, 3ydd pers. gwrywaidd unigol"
Ar3bu,"Arddodiad rhediadol, 3ydd pers. benywaidd unigol"
Ar1ll,"Arddodiad rhediadol, pers 1af. lluosog"
Ar2ll,"Arddodiad rhediadol, 2il pers.lluosog"
Ar3ll,"Arddodiad rhediadol, 3ydd pers. lluosog"
Cyscyd,Cysylltair cydradd
Cysis,Cysylltair isradd
Rhifol,Rhifair - rhifolyn (0-10)
Rhifold,Rhifair - rhifolyn degol (11+)
Rhifolt,Rhifair - rhifolyn traddodiadol (11+)
Rhitref,Rhifair – trefnolyn (0-10)
Rhitrefd,Rhifair – trefnolyn degol (11+)
Rhitreft,Rhifair – trefnolyn traddodiadol (11+)
Anscadu,Ansoddair cadarnhaol unigol
Anscadbu,Ansoddair cadarnhaol benywaidd unigol
Anscadll,Ansoddair cadarnhaol lluosog
Anscyf,Ansoddair cyfartal
Anscym,Ansoddair cymharol
Anseith,Ansoddair eithaf
Adf,Adferf
Be,Berf enw
Bpres1u,"Berf presennol, pers. 1af. unigol"
Bpres2u,"Berf presennol, 2il pers. unigol"
Bpres3u,"Berf presennol, 3ydd pers. unigol"
Bpres1ll,"Berf presennol, pers. 1af. lluosog"
Bpres2ll,"Berf presennol, 2il pers. lluosog"
Bpres3ll,"Berf presennol, 3ydd pers. lluosog"
Bpresamhers,"Berf presennol, amhersonol"
Bpres3perth,"Berf presennol, 3ydd pers. perthynnol"
Bpres3amhen,"Berf presennol, 3ydd pers. amhenodol"
Bdyf1u,"Berf dyfodol, pers. 1af. unigol"
Bdyf2u,"Berf dyfodol, 2il pers. unigol"
Bdyf3u,"Berf dyfodol, 3ydd pers. unigol"
Bdyf1ll,"Berf dyfodol, pers. 1af. lluosog"
Bdyf2ll,"Berf dyfodol, 2il pers. lluosog"
Bdyf3ll,"Berf dyfodol, 3ydd pers. lluosog"
Bdyfamhers,Berf dyfodol amhersonol
Bgorb1u,"Berf gorberffaith, pers. 1af. unigol"
Bgorb2u,"Berf gorberffaith, 2il pers. unigol"
Bgorb3u,"Berf gorberffaith, 3ydd pers. unigol"
Bgorb1ll,"Berf gorberffaith, pers. 1af. lluosog"
Bgorb2ll,"Berf gorberffaith, 2il pers. lluosog"
Bgorb3ll,"Berf gorberffaith, 3ydd pers. lluosog"
