,Equivalent Tag,f_reference,USAS Tags
0,Z5,312904,Grammatical bin
1,Z8,72023,Pronouns
2,A3+,24177,Existing
3,Z99,22165,Unmatched
4,Z1,16434,Personal names
5,N1,15606,Numbers 
6,Z2,14502,Geographical names
7,A1.1.1,12189,General actions / making
8,A7+,10590,Likely
9,M1,10157,Moving/ coming and going
10,A9+,10082,Getting and possession
11,M6,9859,Location and direction
12,Q2.2,9724,Speech acts
13,S7.1+,8413,In power 
14,T1.3,8327,Time: Period
15,Z6,8052,Negative
16,Q2.1,7024,Speech: Communicative
17,N4,6620,Linear order
18,N5,6385,Quantities
19,O2,6100,Objects generally
20,N5.1+,5944,Entire; maximum
21,M7,5888,Places
22,S5+,5811,Belonging to a group 
23,B1,5489,Anatomy and physiology
24,M2,5347,Putting/ pulling/ pushing/ transporting
25,X7+,5233,Wanted
26,S6+,4861,Strong obligation or necessity
27,T1.1.3,4846,Time: Future
28,Z3,4809,Other proper names
29,A13.3,4808,Degree: Boosters
30,A6.1-,4629,Comparing: Different
31,A9-,4474,Giving 
32,N5+,4457,Quantities: many/much
33,A2.2,4362,Cause&Effect/Connection
34,Z4,4344,Discourse Bin
35,S8+,4225,Helping 
36,X2.1,4139,Thought/ belief
37,A10+,4107,Open; Finding; Showing
38,G1.2,4064,Politics
39,S4,4002,Kin
40,A2.1+,3939,Change
41,A4.1,3769,Generally kinds/ groups/ examples
42,O4.3,3747,Colour and colour patterns
43,P1,3691,Education in general
44,Q1.2,3691,Paper documents and writing
45,N5+,3576,Quantities: many/much
46,G1.1,3542,Government
47,I1,3515,Money generally
48,W3,3466,Geographical terms
49,I3.1,3381,Work and employment: Generally
50,L2,3225,Living creatures: animals/ birds/ etc. 
51,G3,3152,Warfare/ defence and the army; weapons
52,X4.2,3108,Mental object: Means/ method
53,T3-,3043,Time: New and young 
54,S9,3016,Religion and the supernatural
55,F1,2974,Food
56,T1.1.2,2961,Time: Present; simultaneous
57,A5.1+,2905,Evaluation: Good 
58,S2,2896,People
59,A11.1+,2803,Important
60,X3.4,2795,Sensory: Sight
61,T2+,2757,Time: Beginning 
62,I2.2,2738,Business: Selling
63,A14,2674,Exclusivizers/particularizers
64,I1.1,2654,Money and pay
65,H2,2642,Parts of buildings
66,O4.1,2642,General appearance and physical properties
67,I2.1,2634,Business: Generally
68,B5,2625,Clothes and personal belongings
69,T1.1.1,2598,Time: Past
70,H1,2580,Architecture/ houses and buildings
71,Q1.1,2564,Linguistic Actions/ States And Processes; Communication
72,S2.2,2534,People: Male  
73,L3,2439,Plants
74,G2.1,2418,Law and order
75,X2.2+,2302,Knowledgeable
76,A6.2+,2275,Comparing: Usual 
77,C1,2263,Arts and crafts
78,O4.4,2239,Shape
79,N5-,2235,Quantities: little
80,X2.4,2176,Investigate/ examine/ test/ search
81,M3,2171,Vehicles and transport on land
82,T2+,2162,Time: Beginning 
83,S1.1.1,2089,Social Actions/ States And Processes
84,Z7,2071,If
85,H5,2062,Furniture and household fittings
86,K1,2058,Entertainment generally
87,K5.1,2053,Sports
88,T2-,2035,Time: Ending
89,O1.1,1991,Substances and materials: Solid
90,A1.5.1,1965,Using
91,X4.1,1947,Mental object: Conceptual object
92,A6.1+,1924,Comparing: Similar 
93,T1,1913,Time
94,Q4.1,1741,The Media: Books
95,B3,1711,Medicines and medical treatment
96,Q3,1653,Language/ speech and grammar
97,N6+,1651,Frequent
98,E3-,1647,Violent/Angry
99,A4.2+,1625,Detailed
100,A1.8+,1624,Inclusion
101,A10-,1609,Closed; Hiding/Hidden 
102,N3.2+,1606,Size: Big 
103,O4.2+,1604,Judgement of appearance: Beautiful
104,H4,1592,Residence
105,A12-,1590,Difficult
106,L1-,1585,Dead
107,X5.2+,1511,Interested/excited/energetic
108,N5.1-,1470,Part
109,A13.2,1439,Degree: Maximizers
110,A5.4-,1413,Evaluation: Unauthentic
111,N3.3,1411,Measurement: Distance
112,A13.4,1409,Degree: Approximators
113,A8,1409,Seem
114,X9.2+,1382,Success 
115,E2+,1372,Like
116,E4.1+,1370,Happy 
117,S2.1,1364,People: Female
118,I1.2,1318,Money: Debts
119,N3.8+,1282,Speed: Fast
120,B2-,1275,Disease 
121,X3.2,1271,Sensory: Sound
122,S7.4+,1270,Allowed
123,I1.3,1254,Money: Cost and price
124,T1.2,1251,Time: Momentary
125,N3.2-,1218,Size: Small 
126,K2,1207,Music and related activities
127,X8+,1179,Trying hard
128,A5.4+,1149,Evaluation: Authentic
129,Y2,1126,Information technology and computing
130,S3.1,1122,Personal relationship: General
131,N5.2+,1121,Exceed; waste
132,A1.7+,1071,Constraint
133,X9.1+,1060,Able/intelligent
134,O4.6+,988,Temperature: Hot / on fire     
135,O1.2,983,Substances and materials: Liquid
136,E4.1-,979,Sad 
137,N3.7,965,Measurement: Length & height
138,F2,963,Drinks and alcohol
139,E6-,961,Worry 
140,T3+,961,Time: Old; grown-up
141,S1.1.3+,918,Participating
142,F4,912,Farming & Horticulture
143,W1,912,The universe
144,X6+,911,Decided
145,S1.1.2+,905,Reciprocal
146,S8-,885,Hindering
147,B4,883,Cleaning and personal care
148,A6.3+,860,Comparing: Varied
149,A13.6,856,Degree: Diminishers
150,M4,843,Sailing/ swimming/ etc.
151,H3,838,Areas around or near houses
152,Q4.2,828,The Media: Newspapers etc.
153,N3.7+,818,Long/ tall and wide
154,A1.1.2,815,Damaging and destroying
155,I1.3-,780,Cheap
156,A5.2+,779,Evaluation: True 
157,O4.5,778,Texture
158,Y1,778,Science and technology in general
159,W4,770,Weather 
160,S5-,761,Not part of a group
161,N2,760,Mathematics
162,E5-,757,Fear/shock
163,Q4,740,The Media
164,K4,738,Drama/ the theatre and show business
165,T1.3+,733,Time period: long
166,A1.7-,727,No constraint
167,A5.1+,723,Evaluation: Good 
168,T3,722,Time: Old/ new and young; age
169,X2.6+,714,Expected
170,S7.1-,697,No power 
171,Q4.3,690,The Media: TV/ Radio and Cinema
172,O1,689,Substances and materials generally
173,A6.2-,684,Comparing: Unusual 
174,I4,674,Industry 
175,A6.1+,668,Comparing: Similar 
176,N3.3-,665,Distance: Near
177,A1.4,664,Chance/ luck
178,A6,660,Comparing
179,O4.2-,660,Judgement of appearance: Ugly
180,A13.5,658,Degree: Compromisers
